Time,Target_X(m),Target_Y(m),Target_Z(m)
02:19:55.432,-0.003,-0.269,0.2
02:19:55.725,-0.052,-0.184,0.2
02:19:55.870,-0.082,-0.235,0.2
02:19:56.021,-0.08,-0.237,0.2
02:19:56.158,-0.061,-0.233,0.2
02:19:56.291,-0.004,-0.269,0.2
02:19:56.413,0.019,-0.245,0.19
02:19:56.533,0.017,-0.245,0.19
02:19:56.649,-0.141,-0.195,0.19
02:19:56.760,0.031,-0.252,0.19
02:19:56.890,-0.115,-0.229,0.19
02:19:57.034,-0.051,-0.225,0.19
02:19:57.180,0.014,-0.247,0.19
02:19:57.306,-0.076,-0.223,0.19
02:19:57.417,0.025,-0.248,0.18
02:19:57.527,-0.083,-0.238,0.18
02:19:57.630,-0.048,-0.224,0.18
02:19:57.731,0.505,0.489,0.18
02:19:57.843,0.516,0.502,0.18
02:19:57.965,-0.042,-0.158,0.19
02:19:58.107,-0.092,-0.232,0.19
02:19:58.233,-0.058,-0.228,0.19
02:19:58.266,0.009,-0.249,0.19
02:19:58.307,0.017,-0.246,0.19
02:19:58.345,0.523,0.513,0.19
02:19:58.380,-0.002,-0.267,0.19
02:19:58.417,0.585,0.599,0.19
02:19:58.455,0.001,-0.263,0.19
02:19:58.496,0.493,0.488,0.19
02:19:58.550,-0.021,-0.242,0.19
02:19:58.589,-0.002,-0.267,0.19
02:19:58.629,-0.106,-0.211,0.19
02:19:58.664,0.134,-0.22,0.19
02:19:58.706,0.01,-0.248,0.19
02:19:58.746,0.131,-0.217,0.19
02:19:58.783,0.026,-0.25,0.19
02:19:58.845,0.012,-0.248,0.19
02:19:58.891,0.035,-0.259,0.19
02:19:58.933,0.011,-0.247,0.19
02:19:58.977,0.03,-0.255,0.19
02:19:59.019,0.134,-0.218,0.19
02:19:59.189,0.491,0.484,0.19
02:19:59.228,0.484,0.46,0.19
02:19:59.400,0.387,0.317,0.19
02:20:00.693,0.506,0.484,0.19
02:20:00.785,0.505,0.483,0.19
02:20:00.948,0.604,0.604,0.2
02:20:00.984,0.007,-0.247,0.2
02:20:01.046,0.007,-0.247,0.2
02:20:01.090,0.142,-0.221,0.2
02:20:01.146,0.396,0.338,0.2
02:20:01.198,0.503,0.472,0.2
02:20:01.252,0.484,0.469,0.2
02:20:01.333,0.38,0.305,0.2
02:20:01.460,0.02,-0.248,0.2
02:20:01.527,0.023,-0.254,0.2
02:20:01.594,0.012,-0.248,0.2
02:20:01.736,0.594,0.593,0.2
02:20:01.895,0.009,-0.249,0.2
02:20:02.054,0.015,-0.249,0.19
02:20:02.220,-0.097,-0.231,0.19
02:20:02.348,-0.093,-0.238,0.19
02:20:02.469,0.489,0.459,0.19
02:20:02.585,0.493,0.462,0.19
02:20:02.697,-0.125,-0.223,0.19
02:20:02.806,0.507,0.481,0.19
02:20:02.935,-0.086,-0.237,0.19
02:20:03.100,0.527,0.502,0.17
02:20:03.258,0.538,0.515,0.17
02:20:03.391,-0.085,-0.219,0.17
02:20:03.512,0.511,0.485,0.17
02:20:03.626,0.05,-0.005,0.17
02:20:03.733,0.492,0.447,0.17
02:20:03.839,0.509,0.47,0.17
02:20:03.955,-0.13,-0.186,0.16
02:20:04.084,-0.149,-0.113,0.16
02:20:04.207,-0.125,-0.097,0.16
02:20:04.321,-0.118,-0.117,0.16
02:20:04.427,-0.103,-0.107,0.16
02:20:04.534,-0.088,-0.084,0.15
02:20:04.640,-0.071,-0.018,0.15
02:20:04.740,-0.048,-0.016,0.15
02:20:04.841,-0.157,0.045,0.15
02:20:04.957,0.024,-0.005,0.14
02:20:05.066,-0.088,0.016,0.14
02:20:05.175,-0.025,-0.05,0.14
02:20:05.279,-0.156,0.038,0.14
02:20:05.381,-0.09,-0.271,0.14
02:20:05.485,0.578,0.564,0.13
02:20:05.586,0.06,0.006,0.13
02:20:05.688,0.029,0.008,0.13
02:20:05.787,0.027,-0.008,0.13
02:20:05.900,-0.006,-0.013,0.13
02:20:06.060,-0.042,-0.15,0.12
02:20:06.190,-0.048,-0.165,0.12
02:20:06.305,-0.077,-0.249,0.12
02:20:06.417,-0.043,-0.094,0.12
02:20:06.525,-0.05,-0.2,0.11
02:20:06.632,0.013,0.0,0.11
02:20:06.736,-0.032,-0.142,0.11
02:20:06.837,-0.015,-0.085,0.11
02:20:06.967,-0.024,0.01,0.1
02:20:07.098,-0.046,0.011,0.1
02:20:07.214,0.587,0.604,0.1
02:20:07.326,-0.071,-0.243,0.1
02:20:07.434,-0.059,-0.213,0.1
02:20:07.537,0.023,0.053,0.11
02:20:07.640,0.027,0.061,0.11
02:20:07.742,-0.045,-0.155,0.11
02:20:07.845,0.546,0.548,0.11
02:20:07.974,-0.015,0.06,0.11
02:20:08.091,0.56,0.56,0.11
02:20:08.208,0.029,0.057,0.11
02:20:08.317,0.033,0.066,0.11
02:20:08.421,0.043,0.063,0.11
02:20:08.527,-0.02,-0.051,0.12
02:20:08.630,-0.018,-0.011,0.12
02:20:08.732,0.018,-0.021,0.12
02:20:08.832,0.055,0.067,0.12
02:20:08.948,0.043,0.046,0.12
02:20:09.078,-0.004,0.025,0.14
02:20:09.196,0.028,0.034,0.14
