Time,Roll_X(deg),Pitch_Y(deg),Yaw_Z(deg),Altitude(m)
15:41:08.264,25.87,-66.51,126.94,0.0
15:41:08.284,25.87,-66.51,126.94,33.2
15:41:08.391,25.87,-66.47,126.58,33.2
15:41:08.403,25.87,-66.47,126.58,33.2
15:41:08.500,25.87,-66.47,126.58,33.2
15:41:08.511,25.87,-66.47,126.58,33.2
15:41:08.613,25.99,-66.5,126.11,33.2
15:41:08.625,25.99,-66.5,126.11,33.2
15:41:08.729,25.91,-66.55,126.0,33.2
15:41:08.741,25.91,-66.55,126.0,33.2
15:41:08.848,25.81,-66.52,125.91,33.2
15:41:08.862,25.81,-66.52,125.91,33.21
15:41:08.963,25.81,-66.52,125.91,33.21
15:41:08.974,25.81,-66.52,125.91,33.21
15:41:09.082,25.88,-66.46,125.48,33.21
15:41:09.096,25.88,-66.46,125.48,33.2
15:41:09.199,25.88,-66.52,125.3,33.2
15:41:09.209,25.88,-66.52,125.3,33.2
15:41:09.322,25.88,-66.48,125.13,33.2
15:41:09.334,25.88,-66.48,125.13,33.2
15:41:09.430,25.95,-66.52,124.88,33.2
15:41:09.441,25.95,-66.52,124.88,33.2
15:41:09.545,25.82,-66.48,124.82,33.2
15:41:09.556,25.82,-66.48,124.82,33.2
15:41:09.665,25.82,-66.53,124.63,33.2
15:41:09.679,25.82,-66.53,124.63,33.2
15:41:09.784,0.05,0.06,-0.22,0.0
15:41:09.796,0.05,0.06,-0.22,0.0
15:41:09.900,0.05,0.06,-0.22,0.0
15:41:09.906,0.05,0.06,-0.22,0.0
15:41:09.984,0.02,0.01,-0.55,0.0
15:41:10.015,0.02,0.01,-0.55,0.0
15:41:10.099,0.07,0.06,-0.78,0.0
15:41:10.102,0.07,0.06,-0.78,-0.01
15:41:10.214,0.02,-0.01,-0.92,-0.01
15:41:10.217,0.02,-0.01,-0.92,-0.01
15:41:10.328,0.02,-0.01,-0.92,-0.01
15:41:10.332,0.02,-0.01,-0.92,-0.01
15:41:10.443,0.01,0.03,-1.27,-0.01
15:41:10.446,0.01,0.03,-1.27,-0.01
15:41:10.558,0.01,0.03,-1.27,-0.01
15:41:10.560,0.01,0.03,-1.27,-0.01
15:41:10.672,0.1,0.02,-1.72,-0.01
15:41:10.675,0.1,0.02,-1.72,-0.01
15:41:10.787,0.0,0.0,-1.81,-0.01
15:41:10.790,0.0,0.0,-1.81,-0.02
15:41:10.902,0.04,0.07,-2.02,-0.02
15:41:10.905,0.04,0.07,-2.02,-0.01
15:41:11.017,0.04,0.07,-2.02,-0.01
15:41:11.019,0.04,0.07,-2.02,-0.01
15:41:11.131,0.03,0.04,-2.38,-0.01
15:41:11.134,0.03,0.04,-2.38,-0.01
15:41:11.246,0.03,0.04,-2.38,-0.01
15:41:11.248,0.03,0.04,-2.38,-0.01
15:41:11.361,0.06,0.02,-2.77,-0.01
15:41:11.364,0.06,0.02,-2.77,-0.01
15:41:11.475,0.06,0.02,-2.77,-0.01
15:41:11.478,0.06,0.02,-2.77,-0.01
15:41:11.593,-0.03,0.03,-3.05,-0.01
15:41:11.597,-0.03,0.03,-3.05,-0.01
15:41:11.705,0.15,0.03,-3.39,-0.01
15:41:11.707,0.15,0.03,-3.39,-0.01
15:41:11.819,0.12,0.0,-3.54,-0.01
15:41:11.822,0.12,0.0,-3.54,-0.01
15:41:11.934,0.12,0.0,-3.54,-0.01
15:41:11.937,0.12,0.0,-3.54,-0.01
15:41:12.049,0.07,0.0,-3.86,-0.01
15:41:12.051,0.07,0.0,-3.86,-0.01
15:41:12.164,0.03,0.01,-4.0,-0.01
15:41:12.168,0.03,0.01,-4.0,-0.01
15:41:12.278,0.02,0.08,-4.18,-0.01
15:41:12.281,0.02,0.08,-4.18,-0.01
15:41:12.393,0.02,0.08,-4.18,-0.01
15:41:12.396,0.02,0.08,-4.18,-0.01
15:41:12.507,0.07,-0.01,-4.58,-0.01
