Time,Roll_X(deg),Pitch_Y(deg),Yaw_Z(deg),Altitude(m)
15:18:22.422,25.88,-66.5,201.44,0.0
15:18:22.426,25.88,-66.5,201.44,34.32
15:18:22.537,25.88,-66.5,201.44,34.32
15:18:22.540,25.88,-66.5,201.44,34.32
15:18:22.651,25.88,-66.5,201.44,34.32
15:18:22.663,25.88,-66.5,201.44,34.32
15:18:22.766,25.88,-66.5,201.44,34.32
15:18:22.779,25.88,-66.5,201.44,34.32
15:18:22.881,25.88,-66.5,201.44,34.32
15:18:22.883,25.88,-66.5,201.44,34.32
15:18:22.995,25.88,-66.5,201.44,34.32
15:18:22.998,25.88,-66.5,201.44,34.32
15:18:23.110,25.88,-66.5,201.44,34.32
15:18:23.147,25.88,-66.5,201.44,34.32
15:18:23.224,25.88,-66.5,201.44,34.32
15:18:23.268,25.88,-66.5,201.44,34.32
15:18:23.375,25.88,-66.5,201.44,34.32
15:18:23.387,25.88,-66.5,201.44,34.32
15:18:23.481,25.88,-66.5,201.44,34.32
15:18:23.501,25.88,-66.5,201.44,34.32
15:18:23.594,25.88,-66.5,201.44,34.32
15:18:23.605,25.88,-66.5,201.44,34.32
15:18:23.705,25.88,-66.5,201.44,34.32
15:18:23.718,25.88,-66.5,201.44,34.32
15:18:23.812,0.0,0.0,0.0,0.0
15:18:23.827,0.0,0.0,0.0,0.0
15:18:23.939,0.05,0.01,-3.47,0.0
15:18:23.952,0.05,0.01,-3.47,-0.06
15:18:24.058,0.05,0.01,-3.47,-0.06
15:18:24.072,0.05,0.01,-3.47,-0.06
15:18:24.161,0.02,0.05,-3.81,-0.06
15:18:24.176,0.02,0.05,-3.81,-0.06
15:18:24.257,0.01,0.02,-3.97,-0.06
15:18:24.292,0.01,0.02,-3.97,-0.06
15:18:24.371,0.01,0.02,-3.97,-0.06
15:18:24.409,0.01,0.02,-3.97,-0.06
15:18:24.519,-0.03,0.01,-4.3,-0.06
15:18:24.536,-0.03,0.01,-4.3,-0.06
15:18:24.623,-0.03,0.01,-4.3,-0.06
15:18:24.635,-0.03,0.01,-4.3,-0.06
15:18:24.737,0.02,-0.03,-4.71,-0.06
15:18:24.749,0.02,-0.03,-4.71,-0.06
15:18:24.861,-0.03,0.04,-4.84,-0.06
15:18:24.872,-0.03,0.04,-4.84,-0.06
15:18:24.979,-0.03,0.04,-4.84,-0.06
15:18:24.992,-0.03,0.04,-4.84,-0.06
15:18:25.081,-0.03,0.04,-4.84,-0.06
15:18:25.094,-0.03,0.04,-4.84,-0.06
15:18:25.196,0.03,0.01,-5.44,-0.06
15:18:25.209,0.03,0.01,-5.44,-0.05
15:18:25.308,-0.04,0.02,-5.55,-0.05
15:18:25.319,-0.04,0.02,-5.55,-0.04
15:18:25.432,-0.09,0.01,-5.69,-0.04
15:18:25.446,-0.09,0.01,-5.69,-0.04
15:18:25.541,-0.09,0.01,-5.69,-0.04
15:18:25.553,-0.09,0.01,-5.69,-0.04
15:18:25.684,-0.09,0.01,-5.69,-0.04
15:18:25.699,-0.09,0.01,-5.69,-0.04
15:18:25.748,0.03,0.0,-6.33,-0.04
15:18:25.760,0.03,0.0,-6.33,-0.03
15:18:25.893,-0.08,0.02,-6.41,-0.03
15:18:25.906,-0.08,0.02,-6.41,-0.02
15:18:25.977,0.0,-0.02,-6.67,-0.02
15:18:26.016,0.0,-0.02,-6.67,-0.02
15:18:26.092,0.05,-0.01,-6.89,-0.02
15:18:26.094,0.05,-0.01,-6.89,-0.01
15:18:26.207,0.12,0.03,-7.14,-0.01
15:18:26.210,0.12,0.03,-7.14,0.0
15:18:26.321,0.02,-0.04,-7.23,0.0
15:18:26.324,0.02,-0.04,-7.23,0.01
15:18:26.436,0.05,0.02,-7.44,0.01
15:18:26.440,0.05,0.02,-7.44,0.01
15:18:26.551,0.11,0.01,-7.67,0.01
15:18:26.554,0.11,0.01,-7.67,0.02
15:18:26.665,-0.07,0.05,-7.68,0.02
15:18:26.669,-0.07,0.05,-7.68,0.03
15:18:26.780,-0.07,0.05,-7.68,0.03
15:18:26.783,-0.07,0.05,-7.68,0.03
15:18:26.895,-0.06,0.03,-8.06,0.03
15:18:26.898,-0.06,0.03,-8.06,0.05
15:18:27.009,0.02,0.03,-8.31,0.05
15:18:27.012,0.02,0.03,-8.31,0.06
15:18:27.124,0.02,0.03,-8.31,0.06
15:18:27.127,0.02,0.03,-8.31,0.06
15:18:27.239,-0.02,0.03,-8.64,0.06
15:18:27.242,-0.02,0.03,-8.64,0.09
15:18:27.354,-0.02,0.03,-8.64,0.09
15:18:27.356,-0.02,0.03,-8.64,0.09
15:18:27.468,0.05,0.03,-9.06,0.09
15:18:27.471,0.05,0.03,-9.06,0.12
15:18:27.583,-0.04,0.0,-9.16,0.12
15:18:27.586,-0.04,0.0,-9.16,0.13
15:18:27.698,-0.04,0.0,-9.16,0.13
15:18:27.701,-0.04,0.0,-9.16,0.13
15:18:27.812,-0.01,0.0,-9.54,0.13
15:18:27.815,-0.01,0.0,-9.54,0.18
15:18:27.927,-0.1,-0.12,-9.65,0.18
15:18:27.930,-0.1,-0.12,-9.65,0.2
15:18:28.042,-0.49,-0.21,-9.48,0.2
15:18:28.045,-0.49,-0.21,-9.48,0.21
15:18:28.156,-0.38,-0.3,-9.75,0.21
15:18:28.160,-0.38,-0.3,-9.75,0.23
15:18:28.271,-0.51,-0.19,-9.82,0.23
15:18:28.274,-0.51,-0.19,-9.82,0.25
15:18:28.386,-0.22,-0.5,-10.56,0.25
15:18:28.389,-0.22,-0.5,-10.56,0.27
15:18:28.500,-0.22,-0.5,-10.56,0.27
15:18:28.503,-0.22,-0.5,-10.56,0.27
15:18:28.615,-3.36,1.8,-8.35,0.27
15:18:28.618,-3.36,1.8,-8.35,0.31
15:18:28.730,-4.56,4.65,-9.64,0.31
15:18:28.733,-4.56,4.65,-9.64,0.33
15:18:28.845,-1.34,4.36,-14.25,0.33
15:18:28.847,-1.34,4.36,-14.25,0.35
15:18:28.959,-1.34,4.36,-14.25,0.35
15:18:28.963,-1.34,4.36,-14.25,0.35
15:18:29.075,-2.37,-1.6,-18.78,0.35
15:18:29.079,-2.37,-1.6,-18.78,0.39
15:18:29.193,-13.71,-3.0,-13.49,0.39
15:18:29.197,-13.71,-3.0,-13.49,0.42
15:18:29.304,-24.97,-4.16,-7.94,0.42
15:18:29.307,-24.97,-4.16,-7.94,0.45
15:18:29.427,-33.07,-4.65,-3.86,0.45
15:18:29.432,-33.07,-4.65,-3.86,0.47
15:18:29.539,-36.62,-5.44,-3.29,0.47
15:18:29.544,-36.62,-5.44,-3.29,0.49
15:18:29.653,-38.51,-6.24,-3.02,0.49
15:18:29.658,-38.51,-6.24,-3.02,0.51
15:18:29.767,-38.51,-6.24,-3.02,0.51
15:18:29.774,-38.51,-6.24,-3.02,0.51
15:18:29.882,-39.82,-6.37,-2.99,0.51
15:18:29.890,-39.82,-6.37,-2.99,0.57
15:18:30.000,-40.19,-5.41,-2.32,0.57
15:18:30.011,-40.19,-5.41,-2.32,0.6
15:18:30.116,-40.19,-5.41,-2.32,0.6
15:18:30.124,-40.19,-5.41,-2.32,0.6
15:18:30.235,-38.5,-5.49,-4.06,0.6
15:18:30.245,-38.5,-5.49,-4.06,0.65
15:18:30.348,-38.58,-5.53,-4.08,0.65
15:18:30.357,-38.58,-5.53,-4.08,0.68
15:18:30.470,-36.41,-6.68,-4.67,0.68
15:18:30.479,-36.41,-6.68,-4.67,0.7
15:18:30.579,-31.54,-7.36,-5.95,0.7
15:18:30.592,-31.54,-7.36,-5.95,0.72
15:18:30.700,-31.54,-7.36,-5.95,0.72
15:18:30.710,-31.54,-7.36,-5.95,0.72
15:18:30.816,-16.54,-5.9,-11.87,0.72
15:18:30.825,-16.54,-5.9,-11.87,0.78
15:18:30.915,-9.4,-4.45,-14.93,0.78
15:18:30.939,-9.4,-4.45,-14.93,0.81
15:18:31.028,-9.4,-4.45,-14.93,0.81
15:18:31.056,-9.4,-4.45,-14.93,0.81
15:18:31.143,-2.45,-2.41,-19.0,0.81
15:18:31.167,-2.45,-2.41,-19.0,0.85
15:18:31.259,-2.45,-2.41,-19.0,0.85
15:18:31.298,-2.45,-2.41,-19.0,0.85
15:18:31.372,-2.45,-2.41,-19.0,0.85
15:18:31.400,-2.45,-2.41,-19.0,0.85
15:18:31.486,-0.79,-2.94,-20.62,0.85
15:18:31.510,-0.79,-2.94,-20.62,0.92
15:18:31.606,4.49,-3.63,-23.04,0.92
15:18:31.628,4.49,-3.63,-23.04,0.93
15:18:31.724,13.93,-2.6,-28.92,0.93
15:18:31.748,13.93,-2.6,-28.92,0.96
15:18:31.835,13.93,-2.6,-28.92,0.96
15:18:31.845,13.93,-2.6,-28.92,0.96
15:18:31.956,29.15,-2.88,-37.23,0.96
15:18:31.982,29.15,-2.88,-37.23,0.99
15:18:32.075,34.35,-2.5,-40.29,0.99
15:18:32.097,34.35,-2.5,-40.29,1.01
15:18:32.182,35.27,-1.48,-40.13,1.01
15:18:32.192,35.27,-1.48,-40.13,1.03
15:18:32.303,34.81,-0.44,-38.93,1.03
15:18:32.308,34.81,-0.44,-38.93,1.05
15:18:32.429,33.14,-0.54,-37.02,1.05
15:18:32.434,33.14,-0.54,-37.02,1.06
15:18:32.541,30.04,-0.74,-34.95,1.06
15:18:32.549,30.04,-0.74,-34.95,1.08
15:18:32.653,27.55,-1.11,-33.1,1.08
15:18:32.678,27.55,-1.11,-33.1,1.09
15:18:32.765,27.55,-1.11,-33.1,1.09
15:18:32.781,27.55,-1.11,-33.1,1.09
15:18:32.887,27.55,-1.11,-33.1,1.09
15:18:32.897,27.55,-1.11,-33.1,1.09
15:18:33.002,27.55,-1.11,-33.1,1.09
15:18:33.013,27.55,-1.11,-33.1,1.09
15:18:33.117,27.55,-1.11,-33.1,1.09
15:18:33.132,27.55,-1.11,-33.1,1.09
15:18:33.234,27.55,-1.11,-33.1,1.09
15:18:33.243,27.55,-1.11,-33.1,1.09
15:18:33.351,27.55,-1.11,-33.1,1.09
15:18:33.362,27.55,-1.11,-33.1,1.09
15:18:33.469,27.55,-1.11,-33.1,1.09
15:18:33.479,27.55,-1.11,-33.1,1.09
15:18:33.547,27.55,-1.11,-33.1,1.09
15:18:33.579,27.55,-1.11,-33.1,1.09
15:18:33.662,27.55,-1.11,-33.1,1.09
15:18:33.665,27.55,-1.11,-33.1,1.09
15:18:33.777,27.55,-1.11,-33.1,1.09
15:18:33.779,27.55,-1.11,-33.1,1.09
15:18:33.891,27.55,-1.11,-33.1,1.09
15:18:33.894,27.55,-1.11,-33.1,1.09
15:18:34.006,27.55,-1.11,-33.1,1.09
15:18:34.008,27.55,-1.11,-33.1,1.09
15:18:34.121,27.55,-1.11,-33.1,1.09
15:18:34.123,27.55,-1.11,-33.1,1.09
15:18:34.235,27.55,-1.11,-33.1,1.09
15:18:34.238,27.55,-1.11,-33.1,1.09
15:18:34.350,27.55,-1.11,-33.1,1.09
